Task,Category,Start,End,Completion,duration,,,,,,,,
ROS: Workshop 1,ROS,25/11/2024,29/11/2024,1,5,,,,,,,,
ROS: Workshop 2,ROS,02/12/2024,06/12/2024,1,5,,,,,,,,
Chasis Design,Design,02/12/2024,20/12/2024,0,19,,,,,,,,
ROS: Workshop 3,ROS,09/12/2024,13/12/2024,0,5,,,,,,,,
ROS: Workshop 4,ROS,16/12/2024,20/12/2024,0,5,,,,,,,,
Christmas break,Holidays,20/12/2024,05/01/2025,0,17,,,,,,,,
3D printing and iterations,Design,05/01/2025,17/01/2025,0,13,,,,,,,,
Q2 Exam Week,Holidays,20/1/2025,31/1/2025,0,12,,,,,,,,
ROS: System setup and architecture,ROS,31/01/2025,25/03/2025,0,53,,,,,,,,
ROS: Motor movement,ROS,03/02/2025,13/02/2025,0,11,,,,,,,,
ROS: Sensors testing,ROS,17/02/2025,28/02/2025,0,12,,,,,,,,
TU/e Contest sprint 1,TU/e Contest,19/02/2025,19/03/2025,0,29,,,,,,,,
ROS: MicroROS,ROS,01/03/2025,25/03/2025,0,25,,,,,,,,
Festival week break,Holidays,01/03/2025,09/03/2025,0,9,,,,,,,,
ROS: Communication,ROS,10/03/2025,14/03/2025,0,5,,,,,,,,
Order parts,Operational,14/03/2025,25/03/2025,0,19,,,,,,,,
ROS: Morphing,ROS,17/03/2025,21/03/2025,0,5,,,,,,,,
Hardware Module testing,System,25/03/2025,05/04/2025,0,11,,,,,,,,
TU/e Contest sprint 2,TU/e Contest,02/04/2025,16/04/2025,0,15,,,,,,,,
ROS: Flight controller integration,ROS,04/04/2025,29/04/2025,0,27,,,,,,,,
Q3 Exam week,Holidays,07/04/2025,19/04/2025,0,13,,,,,,,,
TU/e Contest sprint 3,TU/e Contest,23/04/2025,07/05/2025,0,15,,,,,,,,
Integration & Testing,System,24/04/2025,11/05/2025,0,18,,,,,,,,
Demo Scripting,System,14/05/2025,24/05/2025,0,11,,,,,,,,
TU/e Contest Finale,TU/e Contest,21/05/2025,05/06/2025,0,16,,,,,,,,
Midterm Day,Deadline,04/02/2025,04/02/2025,0,1,,,,,,,,
Today, Deadline,18/03/2025,18/03/2025,0,1,,,,,,,,
Final  Demo Day,Deadline,03/06/2025,03/06/2025,0,1,,,,,,,,
,,,,,,,,,,,,,
